Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,29.75,30.25,29.25,29.25,5765200,7.13
2013-12-30,28.50,30.25,28.50,29.75,11253200,7.25
2013-12-29,29.25,29.25,28.50,28.50,3853200,6.95
2013-12-28,28.75,29.50,28.50,29.12,5705600,7.10
2013-12-27,27.75,28.75,27.25,28.50,5730000,6.95
2013-12-23,27.25,27.25,26.50,27.25,8120000,6.64
2013-12-22,27.25,28.50,27.00,28.00,6498800,6.82
2013-12-21,28.50,28.75,27.25,27.50,8973600,6.70
2013-12-20,29.25,29.75,28.25,28.50,6768800,6.95
2013-12-17,29.50,29.75,29.12,29.50,5197600,7.19
2013-12-16,29.50,29.75,29.00,29.37,4532000,7.16
2013-12-15,29.00,29.75,29.00,29.75,4438000,7.25
2013-12-14,29.25,29.75,29.00,29.12,10492400,7.10
2013-12-13,28.25,29.50,27.75,29.50,8729200,7.19
2013-12-10,30.25,30.50,27.75,28.25,17781200,6.89
2013-12-09,31.75,32.00,29.75,30.00,6531200,7.31
2013-12-08,32.00,32.25,31.50,31.87,1422000,7.77
2013-12-07,32.00,32.25,31.50,32.25,2280800,7.86
2013-12-06,31.50,32.50,31.25,32.25,5610000,7.86
2013-12-03,31.75,32.00,31.00,31.50,4314800,7.68
2013-12-02,31.75,32.00,31.00,31.75,3614400,7.74
2013-12-01,32.00,32.25,31.25,31.50,3978800,7.68
2013-11-30,31.75,32.63,31.50,31.50,4036800,7.68
2013-11-29,32.25,32.50,31.50,31.75,3462000,7.74
2013-11-26,32.75,33.00,32.25,32.63,1569200,7.95
2013-11-24,32.75,33.50,32.63,33.00,3246800,8.04
2013-11-23,32.50,33.00,31.25,33.00,6653600,8.04
2013-11-22,32.75,33.00,32.25,32.50,5389200,7.92
2013-11-19,33.00,33.50,32.50,33.00,4409200,8.04
2013-11-18,33.50,33.75,33.00,33.50,4089200,8.14
2013-11-17,34.00,35.00,32.75,33.50,10812400,8.14
2013-11-16,32.00,34.25,31.75,34.00,10838000,8.26
2013-11-15,31.50,32.75,31.50,32.00,5616800,7.77
2013-11-12,31.50,32.00,30.50,31.75,5136800,7.71
2013-11-11,30.75,32.00,30.50,31.37,5090800,7.62
2013-11-10,30.25,30.75,30.00,30.75,2765600,7.47
2013-11-09,31.00,31.25,29.75,30.12,6136400,7.32
2013-11-08,32.00,32.13,30.50,30.75,5966400,7.47
2013-11-05,31.87,32.25,30.75,31.87,13513200,7.74
2013-11-04,31.50,32.25,30.75,32.25,6632000,7.83
2013-11-03,33.00,33.00,31.00,31.62,6320000,7.68
2013-11-02,31.25,33.00,31.00,32.75,8013600,7.95
2013-11-01,30.75,31.50,30.25,31.50,3798800,7.65
2013-10-29,31.00,31.75,30.50,30.75,4892400,7.47
2013-10-28,31.75,32.25,31.00,31.00,8736800,7.53
