Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,14.00,14.36,13.95,14.33,7168800,7.16
2013-12-30,14.08,14.15,13.84,14.07,5537200,7.03
2013-12-27,14.31,14.38,14.01,14.06,2858400,7.03
2013-12-26,14.42,14.81,14.28,14.40,3050800,7.20
2013-12-24,14.44,14.47,14.30,14.36,1405000,7.18
2013-12-23,14.16,14.55,14.12,14.49,4493800,7.24
2013-12-20,14.29,14.56,13.78,14.14,11360600,7.07
2013-12-19,14.53,14.92,14.10,14.20,12411400,7.10
2013-12-18,14.80,14.86,14.50,14.57,5382200,7.28
2013-12-17,14.85,15.19,14.66,15.08,7952200,7.54
2013-12-16,14.81,15.10,14.61,14.85,8986600,7.43
2013-12-13,15.14,15.15,14.65,14.79,5885000,7.39
2013-12-12,15.51,15.55,15.01,15.19,5333600,7.59
2013-12-11,15.30,15.49,15.08,15.49,9053600,7.74
2013-12-10,14.75,15.45,14.73,15.28,11021800,7.64
2013-12-09,14.94,14.95,14.67,14.75,8431600,7.38
2013-12-06,14.65,15.19,14.52,14.95,8762800,7.47
2013-12-05,15.03,15.08,14.53,14.63,8692800,7.32
2013-12-04,15.18,15.19,14.50,14.97,11634200,7.49
2013-12-03,15.20,15.34,15.10,15.16,8138200,7.58
2013-12-02,15.90,16.10,15.01,15.18,14240800,7.59
2013-11-29,15.79,15.88,15.41,15.50,5122600,7.75
2013-11-27,15.60,15.86,15.45,15.72,10242800,7.86
2013-11-26,15.85,15.90,15.27,15.41,8580800,7.70
2013-11-25,16.03,16.14,15.71,15.97,7122400,7.99
2013-11-22,16.09,16.30,15.90,16.01,8137800,8.01
2013-11-21,15.90,16.44,15.75,16.35,14945800,8.18
2013-11-20,15.30,15.70,15.25,15.53,7455000,7.76
2013-11-19,15.55,15.75,15.01,15.27,7534000,7.64
2013-11-18,16.19,16.20,15.52,15.65,5877800,7.82
2013-11-15,16.23,16.24,15.76,15.95,5749800,7.97
2013-11-14,15.90,16.41,15.78,16.30,5061200,8.15
2013-11-13,15.50,16.07,15.28,15.59,8276400,7.80
2013-11-12,15.32,16.04,15.28,15.64,7992600,7.82
2013-11-11,15.74,15.89,15.12,15.16,5463400,7.58
2013-11-08,16.01,16.20,15.52,15.84,6788000,7.92
2013-11-07,16.94,17.10,15.81,16.00,12006400,8.00
2013-11-06,17.08,17.32,16.70,17.22,7728200,8.61
2013-11-05,16.75,16.96,16.35,16.90,7524800,8.45
2013-11-04,16.50,17.38,16.35,16.89,13457800,8.44
2013-11-01,15.94,16.50,15.89,16.36,6779600,8.18
2013-10-31,15.99,16.44,15.92,16.07,10565600,8.03
2013-10-30,15.49,16.37,15.48,15.98,9667000,7.99
2013-10-29,15.57,15.88,14.96,15.44,9256400,7.72
2013-10-28,15.55,15.95,15.25,15.61,12475000,7.80
2013-10-25,14.69,15.45,14.59,15.42,9966800,7.71
2013-10-24,15.02,15.21,14.55,14.69,6241000,7.34
2013-10-23,14.63,14.98,14.50,14.88,7465600,7.44
2013-10-22,14.47,14.88,14.26,14.70,7791000,7.35
2013-10-21,14.26,14.63,14.00,14.56,8518600,7.28
2013-10-18,14.00,14.35,13.93,14.34,10296400,7.17
2013-10-17,14.21,14.38,13.98,14.11,16760600,7.05
2013-10-16,14.86,15.13,13.90,14.56,10986600,7.28
2013-10-15,15.22,15.25,14.78,15.16,14482800,7.58
2013-10-14,14.55,14.98,14.44,14.77,6943000,7.39
2013-10-11,14.25,14.78,14.10,14.51,10524200,7.26
2013-10-10,13.63,14.22,13.58,14.11,11484800,7.05
2013-10-09,13.54,13.85,13.41,13.59,12738800,6.80
2013-10-08,13.90,13.96,13.36,13.68,16201600,6.84
2013-10-07,13.97,14.21,13.76,13.77,8739200,6.89
2013-10-04,14.36,14.40,13.99,14.03,6815200,7.01
2013-10-03,14.18,14.60,14.06,14.30,7782000,7.15
2013-10-02,14.33,14.63,14.10,14.17,8191000,7.09
2013-10-01,14.59,14.60,14.00,14.51,12229400,7.26
2013-09-30,14.40,14.57,14.14,14.50,8489200,7.25
2013-09-27,14.49,14.85,14.48,14.72,7362600,7.36
2013-09-26,15.10,15.19,14.55,14.70,7451600,7.35
2013-09-25,14.69,15.17,14.65,14.93,9095800,7.47
2013-09-24,14.40,14.82,14.40,14.64,8952200,7.32
2013-09-23,14.76,14.96,14.45,14.85,9418200,7.43
2013-09-20,14.62,14.94,14.52,14.87,12599600,7.43
2013-09-19,14.75,14.80,14.48,14.58,7355200,7.29
2013-09-18,14.69,15.09,14.52,15.02,11737200,7.51
2013-09-17,14.57,15.03,14.57,14.80,15285600,7.40
2013-09-16,14.14,14.61,14.12,14.50,10237200,7.25
2013-09-13,14.13,14.34,14.05,14.17,10105400,7.09
2013-09-12,14.20,14.51,14.12,14.14,9636800,7.07
2013-09-11,14.34,14.60,14.15,14.29,7229000,7.14
2013-09-10,14.41,14.49,14.12,14.33,8909600,7.16
2013-09-09,14.28,14.53,14.15,14.37,5651600,7.18
2013-09-06,14.51,14.65,14.23,14.38,6485400,7.19
2013-09-05,14.22,14.36,14.05,14.18,8077800,7.09
2013-09-04,14.20,14.78,14.17,14.48,15023600,7.24
2013-09-03,14.49,14.55,14.05,14.05,9890600,7.03
2013-08-30,14.73,15.14,14.58,14.75,6911400,7.38
2013-08-29,14.65,15.08,14.51,14.70,5863200,7.35
2013-08-28,14.80,15.12,14.65,14.70,8856200,7.35
2013-08-27,15.71,15.74,14.71,14.85,9365400,7.43
2013-08-26,15.95,15.95,15.16,15.53,6784600,7.76
2013-08-23,15.90,15.93,15.45,15.73,5830200,7.86
2013-08-22,16.20,16.25,15.66,15.97,9225400,7.99
2013-08-21,16.01,16.24,15.45,16.12,7229600,8.06
2013-08-20,15.97,16.09,15.53,15.91,6665200,7.95
2013-08-19,15.78,16.25,15.72,15.98,7734200,7.99
2013-08-16,15.45,16.10,15.28,15.81,8758000,7.91
2013-08-15,15.25,15.75,15.01,15.61,11502800,7.80
2013-08-14,14.67,15.35,14.54,15.17,14253000,7.59
2013-08-13,14.90,15.21,14.55,14.59,9638200,7.30
2013-08-12,14.90,15.02,14.69,14.99,6420200,7.49
2013-08-09,15.25,15.25,14.75,15.00,7347000,7.50
2013-08-08,14.77,15.38,14.77,15.30,8119600,7.65
2013-08-07,15.09,15.36,14.35,15.03,11909800,7.51
2013-08-06,14.21,15.23,14.08,14.74,9716200,7.37
2013-08-05,14.51,14.70,13.97,13.99,7286600,6.99
2013-08-02,14.74,15.00,14.25,14.45,6395000,7.22
2013-08-01,15.11,15.42,14.73,14.80,8177000,7.40
2013-07-31,15.40,15.42,14.90,15.26,11096400,7.63
2013-07-30,14.85,15.51,14.56,15.43,12672800,7.72
2013-07-29,14.48,15.10,14.37,15.02,9820000,7.51
2013-07-26,14.46,14.53,13.80,14.34,7418000,7.17
2013-07-25,14.93,14.95,14.01,14.36,17119800,7.18
2013-07-24,14.33,15.22,14.25,15.20,14521200,7.60
2013-07-23,14.90,15.13,14.44,14.47,14281800,7.24
2013-07-22,14.75,15.19,14.61,14.92,15389200,7.46
2013-07-19,14.70,15.17,14.53,14.96,13757400,7.48
2013-07-18,15.50,15.56,14.75,14.99,19980800,7.49
2013-07-17,16.13,16.20,15.19,15.63,43410200,7.82
2013-07-16,18.15,18.57,17.61,17.86,15956000,8.93
2013-07-15,17.43,18.60,16.81,18.23,10571200,9.11
2013-07-12,18.55,18.79,17.26,17.51,15839000,8.76
2013-07-11,17.26,18.35,16.97,18.30,13345600,9.15
2013-07-10,17.71,18.17,17.25,17.32,7388600,8.66
2013-07-09,18.09,18.29,17.46,17.53,8098200,8.77
2013-07-08,18.52,18.61,17.68,18.01,7543000,9.01
2013-07-05,17.71,18.75,17.71,18.74,5773200,9.37
2013-07-03,16.81,17.68,16.75,17.55,7108200,8.77
2013-07-02,17.03,17.16,16.83,16.94,10899600,8.47
2013-07-01,17.71,17.88,17.05,17.06,7953200,8.53
2013-06-28,17.10,17.82,17.00,17.72,9637800,8.86
2013-06-27,16.79,17.27,16.42,17.06,8987800,8.53
2013-06-26,16.80,17.29,15.98,16.55,19962600,8.27
2013-06-25,17.40,17.68,16.86,17.14,10757200,8.57
2013-06-24,16.77,17.73,16.70,17.27,15426200,8.64
2013-06-21,16.97,17.49,16.79,16.85,15899200,8.43
2013-06-20,17.17,17.60,16.85,17.11,14165600,8.56
