Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,42.50,43.00,41.88,42.00,4200000,9.63
2013-12-30,42.50,43.75,42.50,43.38,5560000,9.95
2013-12-29,40.50,42.25,40.25,42.13,4240000,9.66
2013-12-28,42.25,42.50,39.50,40.25,8200000,9.23
2013-12-24,42.00,43.00,41.75,42.63,2508000,9.78
2013-12-23,41.75,42.75,41.25,42.25,6120000,9.69
2013-12-22,41.75,41.75,40.50,41.50,4600000,9.52
2013-12-21,40.50,41.75,40.25,41.75,6720000,9.58
2013-12-18,39.50,41.25,39.25,40.50,10800000,9.29
2013-12-17,40.50,40.75,39.25,39.25,11640000,9.00
2013-12-16,37.75,39.75,37.25,39.25,11800000,9.00
2013-12-15,37.75,38.25,37.00,37.50,10680000,8.60
2013-12-14,34.50,37.50,34.25,37.25,12200000,8.54
2013-12-11,34.75,34.75,33.50,34.00,4360000,7.80
2013-12-10,33.75,36.00,33.25,34.75,9880000,7.97
2013-12-09,34.50,36.25,33.88,35.00,6400000,8.03
2013-12-08,33.50,34.88,33.25,34.50,9080000,7.91
2013-12-07,31.00,33.25,31.00,33.00,7280000,7.57
2013-12-04,30.25,31.25,29.75,30.75,8720000,7.05
2013-12-03,33.00,33.38,29.75,30.50,11400000,7.00
2013-12-02,33.25,33.50,32.50,32.50,5080000,7.45
2013-12-01,33.50,34.00,32.75,33.25,6480000,7.63
2013-11-30,33.75,34.50,30.50,33.00,14880000,7.57
2013-11-27,36.25,36.50,34.75,35.00,2526800,8.03
2013-11-25,37.00,37.00,36.00,36.50,3311200,8.37
2013-11-24,36.75,37.75,36.13,37.00,7040000,8.49
2013-11-23,35.50,36.25,34.75,36.25,3500000,8.31
2013-11-20,34.00,36.00,33.25,35.50,8960000,8.14
2013-11-19,36.50,36.50,34.00,34.50,6520000,7.91
2013-11-18,35.75,36.50,34.50,36.25,9480000,8.31
2013-11-17,36.75,37.00,35.00,35.00,9600000,8.03
2013-11-16,37.75,38.50,36.50,36.75,6600000,8.41
2013-11-13,39.25,39.50,37.00,37.25,5520000,8.52
2013-11-12,38.50,40.00,38.38,38.75,8800000,8.87
2013-11-11,37.25,38.25,36.75,37.25,6640000,8.52
2013-11-10,36.50,37.50,36.00,36.25,8280000,8.30
2013-11-09,37.00,37.50,36.25,37.25,7520000,8.52
